id,category,group,name,usedintopaudiences,usedinsummary,sortorder,placeiqid
id,category,group,name,usedInTopAudiences,usedInSummary,sortOrder,placeIqId
737,Automotive Dealerships,Consumer Profiles,Automotive Dealership Visitors,TRUE,FALSE,1,AutomotiveDealerships
738,Automotive Dealerships,Consumer Profiles,Domestic Auto Dealership Visitors,TRUE,FALSE,2,AutomotiveDealerships->Domestic
739,Automotive Dealerships,Consumer Profiles,Domestic Big 3 Auto Dealership Visitors,TRUE,FALSE,3,AutomotiveDealerships->Domestic->Big3
741,Automotive Dealerships,Consumer Profiles,Domestic Luxury Auto Dealership Visitors,TRUE,FALSE,4,AutomotiveDealerships->Domestic->Luxury
740,Automotive Dealerships,Consumer Profiles,Domestic Non-Luxury Auto Dealership Visitors,TRUE,FALSE,5,AutomotiveDealerships->Domestic->General
743,Automotive Dealerships,Consumer Profiles,Foreign Asian Auto Dealership Visitors,TRUE,FALSE,6,AutomotiveDealerships->Foreign->Asian
742,Automotive Dealerships,Consumer Profiles,Foreign Auto Dealership Visitors,TRUE,FALSE,7,AutomotiveDealerships->Foreign
744,Automotive Dealerships,Consumer Profiles,Foreign European Auto Dealership Visitors,TRUE,FALSE,8,AutomotiveDealerships->Foreign->European
746,Automotive Dealerships,Consumer Profiles,Foreign Luxury Auto Dealership Visitors,TRUE,FALSE,9,AutomotiveDealerships->Foreign->Luxury
745,Automotive Dealerships,Consumer Profiles,Foreign Non-Luxury Auto Dealership Visitors,TRUE,FALSE,10,AutomotiveDealerships->Foreign->General
748,Automotive Dealerships,Consumer Profiles,Luxury Auto Dealership Visitors,TRUE,FALSE,11,AutomotiveDealerships->Luxury
747,Automotive Dealerships,Consumer Profiles,Non-Luxury Auto Dealership Visitors,TRUE,FALSE,12,AutomotiveDealerships->General
749,Automotive Dealerships,Consumer Profiles,Truck Auto Dealership Visitors,TRUE,FALSE,13,AutomotiveDealerships->Trucks
1,Automotive Dealerships,Domestic Dealerships,Buick,FALSE,FALSE,14,AutomotiveDealerships->Domestic->General->GMC->Buick
2,Automotive Dealerships,Domestic Dealerships,Cadillac,FALSE,FALSE,15,AutomotiveDealerships->Domestic->Luxury->GMC->Cadillac
3,Automotive Dealerships,Domestic Dealerships,Chevrolet,FALSE,FALSE,16,AutomotiveDealerships->Domestic->General->GMC->Chevrolet
4,Automotive Dealerships,Domestic Dealerships,Chrysler,FALSE,FALSE,17,AutomotiveDealerships->Domestic->General->Fiat->Chrysler
5,Automotive Dealerships,Domestic Dealerships,Dodge,FALSE,FALSE,18,AutomotiveDealerships->Domestic->General->Fiat->Dodge
6,Automotive Dealerships,Domestic Dealerships,Ford,FALSE,FALSE,19,AutomotiveDealerships->Domestic->General->Ford->Ford
7,Automotive Dealerships,Domestic Dealerships,GMC,FALSE,FALSE,20,AutomotiveDealerships->Domestic->General->GMC->GMC
8,Automotive Dealerships,Domestic Dealerships,Jeep,FALSE,FALSE,21,AutomotiveDealerships->Domestic->General->Fiat->Jeep
9,Automotive Dealerships,Domestic Dealerships,Lincoln,FALSE,FALSE,22,AutomotiveDealerships->Domestic->Luxury->Ford->Lincoln
10,Automotive Dealerships,Domestic Dealerships,RAM,FALSE,FALSE,23,AutomotiveDealerships->Domestic->General->Fiat->RAM
11,Automotive Dealerships,Domestic Dealerships,Tesla,FALSE,FALSE,24,AutomotiveDealerships->Domestic->Luxury->Tesla->Tesla
12,Automotive Dealerships,Foreign Dealerships,Acura,FALSE,FALSE,25,AutomotiveDealerships->Foreign->Luxury->Honda->Acura
13,Automotive Dealerships,Foreign Dealerships,Audi,FALSE,FALSE,26,AutomotiveDealerships->Foreign->Luxury->Volkswagen->Audi
14,Automotive Dealerships,Foreign Dealerships,BMW,FALSE,FALSE,27,AutomotiveDealerships->Foreign->Luxury->BMW->BMW
15,Automotive Dealerships,Foreign Dealerships,Ferrari,FALSE,FALSE,28,AutomotiveDealerships->Foreign->Luxury->Ferrari->Ferrari
16,Automotive Dealerships,Foreign Dealerships,Fiat,FALSE,FALSE,29,AutomotiveDealerships->Foreign->General->Fiat->Fiat
17,Automotive Dealerships,Foreign Dealerships,Honda,FALSE,FALSE,30,AutomotiveDealerships->Foreign->General->Honda->Honda
18,Automotive Dealerships,Foreign Dealerships,Hyundai,FALSE,FALSE,31,AutomotiveDealerships->Foreign->General->Hyundai->Hyundai
19,Automotive Dealerships,Foreign Dealerships,Infiniti,FALSE,FALSE,32,AutomotiveDealerships->Foreign->Luxury->Nissan->Infiniti
20,Automotive Dealerships,Foreign Dealerships,Jaguar,FALSE,FALSE,33,AutomotiveDealerships->Foreign->Luxury->Tata->Jaguar
21,Automotive Dealerships,Foreign Dealerships,Kia,FALSE,FALSE,34,AutomotiveDealerships->Foreign->General->Hyundai->Kia
22,Automotive Dealerships,Foreign Dealerships,Lamborghini,FALSE,FALSE,35,AutomotiveDealerships->Foreign->Luxury->Volkswagen->Lamborghini
23,Automotive Dealerships,Foreign Dealerships,Land Rover,FALSE,FALSE,36,AutomotiveDealerships->Foreign->Luxury->Tata->LandRover
24,Automotive Dealerships,Foreign Dealerships,Lexus,FALSE,FALSE,37,AutomotiveDealerships->Foreign->Luxury->Toyota->Lexus
